Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x
Japan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,431259.7821,430207.0201,419999.9271,436111.8433,456200.2701,468514.1595,592187.0159,620693.043,642644.6302,671741.5418,692315.8766,695851.0566,434847.8591,437746.1055,419431.9852,431437.2656,435013.6136,411887.0593,359600.2833,410281.9298,399591.6059,405980.6033,413920.1578,421183.1337,430357.771,433372.6219,447351.4797,441752.7975,418098.5814,411542.0146,422045.2882,424962.2613,431186.0277,423260.6735,429611.9029
Netherlands,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,351502.7878,327455.9224,308003.4851,296854.8592,327618.8863,342496.9719,361806.612,347574.8005,360796.1215,388809.3913,386278.7971,390059.7699,347266.1373,355324.381,373184.5714,351016.1446,364308.7004,445074.9947,467158.8295,510804.1791,515128.9658,516329.0124,529713.5389,553780.2389,587346.8785,589138.9945,599194.2645,610685.312,570739.9456,582507.7293,600696.4688,584655.9808,603919.2279,604283.7904,618204.0628
New Zealand,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,209590.4611,209471.7568,214022.5101,221585.0525,223420.4583,225526.7287,235889.3797,262223.3356,274177.5743,273037.7512,265325.598,265736.1643,279647.6207,402955.4577,412606.578,483164.6302,482684.5199,484475.0073,521173.6474,530491.7057,561692.9638,583082.7004,599574.3275,620762.7363,607141.4251,574902.9631,583450.294,534341.3455,587927.8726,595701.6621,606508.619,700946.5506,663550.9992,668804.9651,695140.9775
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,705442.6598,706545.3277,721271.0795,749717.6083,788578.6745,815856.6711,839809.2993,770422.716,816633.1938,829595.7451,840659.7073,862183.2792,1015168.511,1101626.028,1168516.137,1155716.695,1226148.132,1199063.014,1183346.698,1264989.804,1305458.237,1360766.931,1323154.049,1435195.859,1481923.394,1458655.971,1516340.047,1467635.628,1390501.966,1342851.012,1312567.878,1547091.115,1528002.944,1518840.191,1412481.538
Portugal,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,94.477051,94.477051,94.477051,94.477051,95.428108,89963.65189,91795.54037,91519.74431,89679.78234,92087.55549,95801.93591,101834.4161,136545.5069,159295.8285,172296.6183,193002.5692,187276.5753,181767.2394,189133.503,209830.1881,233921.529,242916.5349,252853.3397,245924.4097,259255.1769,262766.7972,262025.1637,250348.6781,238563.4521,237627.3358,240080.629,250076.4907,234154.1229,241875.9546,231439.9163,222620.8267,212271.7864,217244.301,204976.5193,213413.7328
Russia,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.684273,99.684273,99.684273,99.684273,99.684273,99.719566,68669.28328,73433.99496,76290.70933,78790.60296,79331.65277,81446.97493,82592.00606,86678.61511,88552.50587,85535.37434,81039.84479,69196.09965,63178.84512,55187.97621,52852.79662,51005.40334,51797.28399,49124.44062,52429.73219,57925.7205,62961.7989,76176.97672,81777.30905,93483.13438,106841.5615,120639.3585,131206.7559,132952.195,122495.2835,127953.4761,134716.899,130162.3885,132502.2049,133509.2032,126547.261
Singapore,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,95.85733,96.179337,96.36306,96.540154,96.71666,96.774628,256447.5489,262766.8895,281242.5636,299966.5425,297190.5746,301117.3753,328199.4277,355183.4747,379644.4297,405526.6467,418241.5747,433581.9884,468603.9456,504210.8271,524133.1787,547973.1887,577461.3117,550202.63,569517.0187,605194.2959,622025.1748,589588.0663,720045.8388,716927.2704,734532.6907,778656.6371,841827.99,834824.2733,700653.4137,789675.0856,953276.9108,1034460.211,1005470.588,1024447.082,1027623.702
South Korea,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,16124.1395,17189.1426,19180.5047,20923.4473,22323.9716,24583.825,27377.7287,30338.8148,32151.8022,34960.4087,38160.9935,40058.0677,42346.7898,45819.3764,49774.7187,53127.4527,55856.2676,52407.0155,57914.5357,62604.7289,64966.3455,69416.7096,71125.1667,74128.8528,76814.2688,80496.6012,84386.7876,93356.2294,93543.4156,99099.639,111283.5024,118822.197,125256.9675,129207.0142,131525.0475
United Kingdom,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,274003.0653,256714.2004,262905.2441,263808.5256,255887.6184,256977.9931,277458.4575,300331.0631,317202.345,319445.2479,307908.2886,316159.4743,323485.7778,355972.3977,366088.3156,367701.9743,381572.8669,407935.0474,403314.0462,426042.5831,443814.3355,499463.0755,517344.9474,501179.7943,522808.2431,531079.0635,535764.06,526666.5657,488507.2386,510104.4526,501487.4145,506100.6256,522461.5115,566699.322,583344.5252
United States,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,381106.0385,370275.6249,383902.8412,408221.0421,421770.5803,432565.2228,443556.9979,458026.1401,470419.6456,473006.2605,466412.3704,476618.4872,483384.0524,496844.4239,504355.8293,517433.163,534225.0757,551539.8468,570819.6776,587719.2952,587573.3387,592397.9963,603428.1535,620643.0528,635486.8775,646264.8094,651484.5155,643512.1332,620159.2293,630619.0074,630057.9229,661797.7894,662691.4205,683610.5516,697986.3068
