entity,year,percent_gdp,gdp,education_spend
Belgium,1980,5.2823600769042995,27463.27,1450.7088102924356
Belgium,1981,5.40638017654419,27371.01,1479.7808587599277
Belgium,1982,5.2884202003479,27522.96,1455.5297763736723
Belgium,1986,4.82645988464355,29264.86,1412.4567281970965
Belgium,1987,4.55276012420654,29914.42,1361.931785147666
Belgium,1988,4.2778201103210405,31283.6,1338.256132032393
Belgium,1993,5.34370994567871,33502.01,1790.2502403722763
Belgium,1994,5.382229804992679,34455.04,1854.4494322021499
Belgium,1995,2.97274994850159,35163.66,1045.3276845412743
Belgium,1996,3.02610993385315,35641.57,1078.553090351224
Belgium,2001,5.843279838562009,40334.4,2356.851863204955
Belgium,2002,5.947350025176999,40917.66,2433.5164623118394
Belgium,2003,5.884789943695071,41065.62,2416.625476076032
Belgium,2004,5.806960105896,42376.37,2460.778900226881
Belgium,2005,5.76901006698608,43033.23,2482.5913708492744
Belgium,2006,5.84036016464233,43833.85,2560.0547140290723
Belgium,2007,5.84904003143311,45026.67,2633.6279531212826
Belgium,2008,6.29138994216919,45028.56,2832.922294943619
Belgium,2009,6.41535997390747,43667.61,2801.434373502016
Belgium,2010,6.4079899787902805,44502.15,2851.6933123462186
Belgium,2011,6.37873983383179,44902.3,2864.200896406652
Belgium,2013,6.6396598815917995,44347.47,2944.5211740909585
Belgium,2014,6.596849918365481,44566.64,2939.9943544582375
Canada,1980,6.48467016220093,31769.54,2060.1498810484895
Canada,1981,6.43061017990112,32477.44,2088.4975628112784
Canada,1982,6.51913976669312,31060.9,2024.9034837927832
Canada,1983,6.88043022155762,31549.57,2170.7461490514766
Canada,1984,6.64404010772705,33099.78,2199.1626587694163
Canada,1985,6.2128701210022,34346.29,2133.8903890827664
Canada,1986,6.044189929962161,34737.7,2099.6125653004656
Canada,1987,6.32446002960205,35689.59,2257.17385427885
Canada,1988,6.17614984512329,36792.19,2272.3407857024667
Canada,1989,6.09832000732422,36981.04,2255.222161236573
Canada,1990,5.9919900894165,36489.95,2186.474187633036
Canada,1991,6.88430023193359,35298.56,2430.058847949217
Canada,1992,6.770939826965329,35077.56,2375.0804803676597
Canada,1993,7.70425987243652,35500.97,2735.0869860357275
Canada,1994,6.68001985549927,36618.79,2446.142442843581
Canada,1995,6.324450016021731,37143.79,2349.1404326060783
Canada,1998,5.51196002960205,39732.87,2190.0599130137443
Canada,1999,5.54994010925293,41420.21,2298.7968481267926
Canada,2000,5.44200992584229,43175.62,2349.621525943949
Canada,2001,4.96958017349243,43552.02,2164.3525510754575
Canada,2002,5.010729789733889,44488.3,2229.188501046182
Canada,2005,4.78214979171753,47073.41,2251.120978269339
Canada,2007,4.78036022186279,48482.1,2317.6190231237397
Canada,2008,4.63825988769531,48559.09,2252.296793299864
Canada,2009,4.85264015197754,46740.48,2268.147299707032
Canada,2010,5.36992979049683,47792.77,2566.4381939336313
Canada,2011,5.27443981170654,48901.71,2579.2912608452784
China,1980,1.91190004348755,345.57,6.606952980279926
China,1981,1.9488099813461297,358.94,6.995058547043798
China,1982,2.03448009490967,384.98,7.832341469383249
China,1983,2.0769200325012203,420.07,8.724517980527876
China,1984,1.99863004684448,476.94,9.532266145420062
China,1985,2.00814008712769,533.2,10.707402944564844
China,1986,2.06154990196228,571.88,11.789591579341886
China,1987,1.8042500019073502,627.44,11.320586211967479
China,1988,1.76417994499207,685.86,12.099804570722613
China,1992,1.6545599699020401,875.94,14.492952600359931
China,1993,1.65785002708435,986.38,16.35270109715461
China,1994,1.9857100248336799,1103.1,21.904367283940317
China,1995,1.8419200181961102,1211.28,22.310808796405844
China,1996,1.8533899784088101,1319.11,24.448252544188453
China,1998,1.8443299531936599,1529.47,28.20847333511107
China,1999,1.8880399465560902,1635.65,30.881725385844693
Denmark,1980,5.9109201431274405,36378.19,2150.2857604151723
Denmark,1986,5.83825016021729,43708.25,2551.7969756531734
Denmark,1987,6.07808017730713,43763.9,2660.004930716515
Denmark,1988,6.33533000946045,43736.68,2770.863013181687
