entity,code,year,life_expectancy,spend,gdp
China,CHN,1987,68.842003,,627.44
China,CHN,1988,69.001999,,685.86
China,CHN,1989,69.150002,,703.21
China,CHN,1990,69.292999,,719.38
China,CHN,1991,69.436996,,776.05
China,CHN,1992,69.586998,,875.94
China,CHN,1993,69.75,,986.38
China,CHN,1994,69.934998,,1103.1
China,CHN,1995,70.155998,,1211.28
China,CHN,1996,70.427002,,1319.11
China,CHN,1997,70.747002,,1429.01
China,CHN,1998,71.114998,,1529.47
China,CHN,1999,71.521004,,1635.65
China,CHN,2000,71.95500200000002,129.976,1763.85
China,CHN,2001,72.40100100000002,138.888,1900.36
China,CHN,2002,72.839996,159.917,2062.93
China,CHN,2003,73.25700400000002,179.352,2258.33
China,CHN,2004,73.641998,194.832,2473.92
China,CHN,2005,73.987,217.852,2741.24
China,CHN,2006,74.291,243.354,3073.14
China,CHN,2007,74.561996,271.92,3491.57
China,CHN,2008,74.807999,320.642,3808.43
China,CHN,2009,75.031998,380.464,4145.27
China,CHN,2010,75.236,406.997,4564.04
China,CHN,2011,75.425003,468.346,4975.96
China,CHN,2012,75.601997,534.987,5342.17
China,CHN,2013,75.768997,592.484,5730.58
China,CHN,2014,75.931999,658.039,6121.41
China,CHN,2015,76.092003,762.113,6514.42
Denmark,DNK,1960,72.27600100000002,,
Denmark,DNK,1961,72.339996,,
Denmark,DNK,1962,72.402,,
Denmark,DNK,1963,72.469002,,
Denmark,DNK,1964,72.545998,,
Denmark,DNK,1965,72.639,,
Denmark,DNK,1966,72.747002,,
Denmark,DNK,1967,72.866997,,
Denmark,DNK,1968,72.996002,,
Denmark,DNK,1969,73.130997,,
Denmark,DNK,1970,73.271004,,
Denmark,DNK,1971,73.414001,,
Denmark,DNK,1972,73.559998,,
Denmark,DNK,1973,73.70300300000002,,
Denmark,DNK,1974,73.841003,,
Denmark,DNK,1975,73.969002,,
Denmark,DNK,1976,74.08000200000002,,
Denmark,DNK,1977,74.175003,,
Denmark,DNK,1978,74.251999,,
Denmark,DNK,1979,74.314003,,
Denmark,DNK,1980,74.362999,832.077,36378.19
Denmark,DNK,1981,74.402,920.986,36146.13
Denmark,DNK,1982,74.439003,1020.731,37505.54
Denmark,DNK,1983,74.476997,1063.232,38505.63
Denmark,DNK,1984,74.521004,1086.414,40130.85
Denmark,DNK,1985,74.572998,1162.253,41720.65
Denmark,DNK,1986,74.63200400000002,1208.819,43708.25
Denmark,DNK,1987,74.697998,1292.634,43763.9
Denmark,DNK,1988,74.769997,1359.802,43736.68
Denmark,DNK,1989,74.849998,1398.344,43992.48
Denmark,DNK,1990,74.941002,1464.891,44568.88
Denmark,DNK,1991,75.04499799999998,1512.125,45072.55
Denmark,DNK,1992,75.166,1574.776,45803.2
Denmark,DNK,1993,75.303001,1674.351,45658.04
Denmark,DNK,1994,75.457001,1749.247,47933.68
Denmark,DNK,1995,75.628998,1760.779,49130.03
Denmark,DNK,1996,75.82,1858.365,50271.77
Denmark,DNK,1997,76.02600100000002,1930.751,51698.97
Denmark,DNK,1998,76.245003,1947.773,52655.35
Denmark,DNK,1999,76.474998,2223.362,54030.68
Denmark,DNK,2000,76.711998,2322.516,55873.66
Denmark,DNK,2001,76.95300300000002,2490.072,56139.94
Denmark,DNK,2002,77.195,2666.48,56203.76
Denmark,DNK,2003,77.439003,2740.906,56219.59
Denmark,DNK,2004,77.683998,2965.289,57514.35
Denmark,DNK,2005,77.935997,3104.4440000000004,58653.02
Denmark,DNK,2006,78.20099599999998,3420.006,60743.19
Denmark,DNK,2007,78.483002,3633.246,61099.79
Denmark,DNK,2008,78.780998,3926.124,60602.93
Denmark,DNK,2009,79.089996,4305.214,57464.03
Denmark,DNK,2010,79.399002,4447.55,58379.29
Denmark,DNK,2011,79.694,4508.236,59006.56
Denmark,DNK,2012,79.964996,4588.532,58995.48
Denmark,DNK,2013,80.20500200000002,4751.925,59406.8
Denmark,DNK,2014,80.412003,4872.49,60231.97
Denmark,DNK,2015,80.586998,5000.768,61063.41
Estonia,EST,1960,68.497002,,
Estonia,EST,1961,68.941002,,
Estonia,EST,1962,69.306999,,
Estonia,EST,1963,69.608002,,
